Consumption (kwh), Estimated Cost Inc. Tax (p), Start, End
0.054,1.32, 2025-02-10T00:00:00+00:00, 2025-02-10T00:30:00+00:00
0.065,1.58, 2025-02-10T00:30:00+00:00, 2025-02-10T01:00:00+00:00
0.062,1.51, 2025-02-10T01:00:00+00:00, 2025-02-10T01:30:00+00:00
0.051,1.24, 2025-02-10T01:30:00+00:00, 2025-02-10T02:00:00+00:00
0.076,1.85, 2025-02-10T02:00:00+00:00, 2025-02-10T02:30:00+00:00
0.048,1.17, 2025-02-10T02:30:00+00:00, 2025-02-10T03:00:00+00:00
0.113,2.75, 2025-02-10T03:00:00+00:00, 2025-02-10T03:30:00+00:00
0.086,2.09, 2025-02-10T03:30:00+00:00, 2025-02-10T04:00:00+00:00
0.057,1.39, 2025-02-10T04:00:00+00:00, 2025-02-10T04:30:00+00:00
0.098,2.39, 2025-02-10T04:30:00+00:00, 2025-02-10T05:00:00+00:00
0.111,2.7, 2025-02-10T05:00:00+00:00, 2025-02-10T05:30:00+00:00
0.093,2.27, 2025-02-10T05:30:00+00:00, 2025-02-10T06:00:00+00:00
0.082,2, 2025-02-10T06:00:00+00:00, 2025-02-10T06:30:00+00:00
0.08,1.95, 2025-02-10T06:30:00+00:00, 2025-02-10T07:00:00+00:00
0.083,2.02, 2025-02-10T07:00:00+00:00, 2025-02-10T07:30:00+00:00
0.163,3.97, 2025-02-10T07:30:00+00:00, 2025-02-10T08:00:00+00:00
0.345,8.4, 2025-02-10T08:00:00+00:00, 2025-02-10T08:30:00+00:00
0.388,9.45, 2025-02-10T08:30:00+00:00, 2025-02-10T09:00:00+00:00
0.324,7.89, 2025-02-10T09:00:00+00:00, 2025-02-10T09:30:00+00:00
0.349,8.5, 2025-02-10T09:30:00+00:00, 2025-02-10T10:00:00+00:00
0.566,13.79, 2025-02-10T10:00:00+00:00, 2025-02-10T10:30:00+00:00
0.558,13.59, 2025-02-10T10:30:00+00:00, 2025-02-10T11:00:00+00:00
0.847,20.63, 2025-02-10T11:00:00+00:00, 2025-02-10T11:30:00+00:00
0.306,7.45, 2025-02-10T11:30:00+00:00, 2025-02-10T12:00:00+00:00
0.246,5.99, 2025-02-10T12:00:00+00:00, 2025-02-10T12:30:00+00:00
0.199,4.85, 2025-02-10T12:30:00+00:00, 2025-02-10T13:00:00+00:00
0.17,4.14, 2025-02-10T13:00:00+00:00, 2025-02-10T13:30:00+00:00
0.18,4.38, 2025-02-10T13:30:00+00:00, 2025-02-10T14:00:00+00:00
0.295,7.19, 2025-02-10T14:00:00+00:00, 2025-02-10T14:30:00+00:00
0.192,4.68, 2025-02-10T14:30:00+00:00, 2025-02-10T15:00:00+00:00
0.147,3.58, 2025-02-10T15:00:00+00:00, 2025-02-10T15:30:00+00:00
0.256,6.24, 2025-02-10T15:30:00+00:00, 2025-02-10T16:00:00+00:00
0.216,5.26, 2025-02-10T16:00:00+00:00, 2025-02-10T16:30:00+00:00
0.227,5.53, 2025-02-10T16:30:00+00:00, 2025-02-10T17:00:00+00:00
0.269,6.55, 2025-02-10T17:00:00+00:00, 2025-02-10T17:30:00+00:00
0.223,5.43, 2025-02-10T17:30:00+00:00, 2025-02-10T18:00:00+00:00
0.243,5.92, 2025-02-10T18:00:00+00:00, 2025-02-10T18:30:00+00:00
0.619,15.08, 2025-02-10T18:30:00+00:00, 2025-02-10T19:00:00+00:00
0.185,4.51, 2025-02-10T19:00:00+00:00, 2025-02-10T19:30:00+00:00
0.069,1.68, 2025-02-10T19:30:00+00:00, 2025-02-10T20:00:00+00:00
0.122,2.97, 2025-02-10T20:00:00+00:00, 2025-02-10T20:30:00+00:00
1.03,25.09, 2025-02-10T20:30:00+00:00, 2025-02-10T21:00:00+00:00
1.262,30.74, 2025-02-10T21:00:00+00:00, 2025-02-10T21:30:00+00:00
1.345,32.76, 2025-02-10T21:30:00+00:00, 2025-02-10T22:00:00+00:00
1.543,37.58, 2025-02-10T22:00:00+00:00, 2025-02-10T22:30:00+00:00
1.235,30.08, 2025-02-10T22:30:00+00:00, 2025-02-10T23:00:00+00:00
1.182,28.79, 2025-02-10T23:00:00+00:00, 2025-02-10T23:30:00+00:00
1.199,29.2, 2025-02-10T23:30:00+00:00, 2025-02-11T00:00:00+00:00
1.196,29.13, 2025-02-11T00:00:00+00:00, 2025-02-11T00:30:00+00:00
1.188,28.94, 2025-02-11T00:30:00+00:00, 2025-02-11T01:00:00+00:00
1.204,29.33, 2025-02-11T01:00:00+00:00, 2025-02-11T01:30:00+00:00
1.206,29.37, 2025-02-11T01:30:00+00:00, 2025-02-11T02:00:00+00:00
1.2,29.23, 2025-02-11T02:00:00+00:00, 2025-02-11T02:30:00+00:00
1.183,28.81, 2025-02-11T02:30:00+00:00, 2025-02-11T03:00:00+00:00
1.245,30.32, 2025-02-11T03:00:00+00:00, 2025-02-11T03:30:00+00:00
1.226,29.86, 2025-02-11T03:30:00+00:00, 2025-02-11T04:00:00+00:00
1.207,29.4, 2025-02-11T04:00:00+00:00, 2025-02-11T04:30:00+00:00
1.241,30.23, 2025-02-11T04:30:00+00:00, 2025-02-11T05:00:00+00:00
1.234,30.06, 2025-02-11T05:00:00+00:00, 2025-02-11T05:30:00+00:00
1.26,30.69, 2025-02-11T05:30:00+00:00, 2025-02-11T06:00:00+00:00
1.203,29.3, 2025-02-11T06:00:00+00:00, 2025-02-11T06:30:00+00:00
1.243,30.28, 2025-02-11T06:30:00+00:00, 2025-02-11T07:00:00+00:00
1.252,30.49, 2025-02-11T07:00:00+00:00, 2025-02-11T07:30:00+00:00
0.328,7.99, 2025-02-11T07:30:00+00:00, 2025-02-11T08:00:00+00:00
0.258,6.28, 2025-02-11T08:00:00+00:00, 2025-02-11T08:30:00+00:00
0.151,3.68, 2025-02-11T08:30:00+00:00, 2025-02-11T09:00:00+00:00
0.156,3.8, 2025-02-11T09:00:00+00:00, 2025-02-11T09:30:00+00:00
0.756,18.41, 2025-02-11T09:30:00+00:00, 2025-02-11T10:00:00+00:00
0.097,2.36, 2025-02-11T10:00:00+00:00, 2025-02-11T10:30:00+00:00
0.079,1.92, 2025-02-11T10:30:00+00:00, 2025-02-11T11:00:00+00:00
0.081,1.97, 2025-02-11T11:00:00+00:00, 2025-02-11T11:30:00+00:00
0.076,1.85, 2025-02-11T11:30:00+00:00, 2025-02-11T12:00:00+00:00
0.265,6.45, 2025-02-11T12:00:00+00:00, 2025-02-11T12:30:00+00:00
1.031,25.11, 2025-02-11T12:30:00+00:00, 2025-02-11T13:00:00+00:00
0.168,4.09, 2025-02-11T13:00:00+00:00, 2025-02-11T13:30:00+00:00
0.178,4.34, 2025-02-11T13:30:00+00:00, 2025-02-11T14:00:00+00:00
0.602,14.66, 2025-02-11T14:00:00+00:00, 2025-02-11T14:30:00+00:00
0.4,9.74, 2025-02-11T14:30:00+00:00, 2025-02-11T15:00:00+00:00
0.402,9.79, 2025-02-11T15:00:00+00:00, 2025-02-11T15:30:00+00:00
1.184,28.84, 2025-02-11T15:30:00+00:00, 2025-02-11T16:00:00+00:00
0.715,17.42, 2025-02-11T16:00:00+00:00, 2025-02-11T16:30:00+00:00
0.281,6.84, 2025-02-11T16:30:00+00:00, 2025-02-11T17:00:00+00:00
0.532,12.96, 2025-02-11T17:00:00+00:00, 2025-02-11T17:30:00+00:00
0.44,10.72, 2025-02-11T17:30:00+00:00, 2025-02-11T18:00:00+00:00
0.275,6.7, 2025-02-11T18:00:00+00:00, 2025-02-11T18:30:00+00:00
1.06,25.82, 2025-02-11T18:30:00+00:00, 2025-02-11T19:00:00+00:00
1.806,43.99, 2025-02-11T19:00:00+00:00, 2025-02-11T19:30:00+00:00
1.377,33.54, 2025-02-11T19:30:00+00:00, 2025-02-11T20:00:00+00:00
1.723,41.97, 2025-02-11T20:00:00+00:00, 2025-02-11T20:30:00+00:00
1.715,41.77, 2025-02-11T20:30:00+00:00, 2025-02-11T21:00:00+00:00
1.328,32.35, 2025-02-11T21:00:00+00:00, 2025-02-11T21:30:00+00:00
1.26,30.69, 2025-02-11T21:30:00+00:00, 2025-02-11T22:00:00+00:00
1.238,30.15, 2025-02-11T22:00:00+00:00, 2025-02-11T22:30:00+00:00
1.256,30.59, 2025-02-11T22:30:00+00:00, 2025-02-11T23:00:00+00:00
0.813,19.8, 2025-02-11T23:00:00+00:00, 2025-02-11T23:30:00+00:00
0.068,1.66, 2025-02-11T23:30:00+00:00, 2025-02-12T00:00:00+00:00
0.051,1.24, 2025-02-12T00:00:00+00:00, 2025-02-12T00:30:00+00:00
0.071,1.73, 2025-02-12T00:30:00+00:00, 2025-02-12T01:00:00+00:00
0.053,1.29, 2025-02-12T01:00:00+00:00, 2025-02-12T01:30:00+00:00
0.053,1.29, 2025-02-12T01:30:00+00:00, 2025-02-12T02:00:00+00:00
0.072,1.75, 2025-02-12T02:00:00+00:00, 2025-02-12T02:30:00+00:00
0.052,1.27, 2025-02-12T02:30:00+00:00, 2025-02-12T03:00:00+00:00
0.109,2.65, 2025-02-12T03:00:00+00:00, 2025-02-12T03:30:00+00:00
0.093,2.27, 2025-02-12T03:30:00+00:00, 2025-02-12T04:00:00+00:00
0.063,1.53, 2025-02-12T04:00:00+00:00, 2025-02-12T04:30:00+00:00
0.09,2.19, 2025-02-12T04:30:00+00:00, 2025-02-12T05:00:00+00:00
0.116,2.83, 2025-02-12T05:00:00+00:00, 2025-02-12T05:30:00+00:00
0.098,2.39, 2025-02-12T05:30:00+00:00, 2025-02-12T06:00:00+00:00
0.079,1.92, 2025-02-12T06:00:00+00:00, 2025-02-12T06:30:00+00:00
0.468,11.4, 2025-02-12T06:30:00+00:00, 2025-02-12T07:00:00+00:00
0.614,14.96, 2025-02-12T07:00:00+00:00, 2025-02-12T07:30:00+00:00
0.241,5.87, 2025-02-12T07:30:00+00:00, 2025-02-12T08:00:00+00:00
0.17,4.14, 2025-02-12T08:00:00+00:00, 2025-02-12T08:30:00+00:00
0.142,3.46, 2025-02-12T08:30:00+00:00, 2025-02-12T09:00:00+00:00
0.181,4.41, 2025-02-12T09:00:00+00:00, 2025-02-12T09:30:00+00:00
0.119,2.9, 2025-02-12T09:30:00+00:00, 2025-02-12T10:00:00+00:00
0.074,1.8, 2025-02-12T10:00:00+00:00, 2025-02-12T10:30:00+00:00
0.065,1.58, 2025-02-12T10:30:00+00:00, 2025-02-12T11:00:00+00:00
0.1,2.44, 2025-02-12T11:00:00+00:00, 2025-02-12T11:30:00+00:00
0.049,1.19, 2025-02-12T11:30:00+00:00, 2025-02-12T12:00:00+00:00
0.07,1.7, 2025-02-12T12:00:00+00:00, 2025-02-12T12:30:00+00:00
0.055,1.34, 2025-02-12T12:30:00+00:00, 2025-02-12T13:00:00+00:00
0.062,1.51, 2025-02-12T13:00:00+00:00, 2025-02-12T13:30:00+00:00
0.455,11.08, 2025-02-12T13:30:00+00:00, 2025-02-12T14:00:00+00:00
0.119,2.9, 2025-02-12T14:00:00+00:00, 2025-02-12T14:30:00+00:00
0.126,3.07, 2025-02-12T14:30:00+00:00, 2025-02-12T15:00:00+00:00
0.088,2.14, 2025-02-12T15:00:00+00:00, 2025-02-12T15:30:00+00:00
0.114,2.78, 2025-02-12T15:30:00+00:00, 2025-02-12T16:00:00+00:00
0.142,3.46, 2025-02-12T16:00:00+00:00, 2025-02-12T16:30:00+00:00
0.205,4.99, 2025-02-12T16:30:00+00:00, 2025-02-12T17:00:00+00:00
0.155,3.78, 2025-02-12T17:00:00+00:00, 2025-02-12T17:30:00+00:00
0.196,4.77, 2025-02-12T17:30:00+00:00, 2025-02-12T18:00:00+00:00
0.471,11.47, 2025-02-12T18:00:00+00:00, 2025-02-12T18:30:00+00:00
0.346,8.43, 2025-02-12T18:30:00+00:00, 2025-02-12T19:00:00+00:00
0.152,3.7, 2025-02-12T19:00:00+00:00, 2025-02-12T19:30:00+00:00
0.146,3.56, 2025-02-12T19:30:00+00:00, 2025-02-12T20:00:00+00:00
0.329,8.01, 2025-02-12T20:00:00+00:00, 2025-02-12T20:30:00+00:00
0.451,10.99, 2025-02-12T20:30:00+00:00, 2025-02-12T21:00:00+00:00
0.113,2.75, 2025-02-12T21:00:00+00:00, 2025-02-12T21:30:00+00:00
0.124,3.02, 2025-02-12T21:30:00+00:00, 2025-02-12T22:00:00+00:00
0.091,2.22, 2025-02-12T22:00:00+00:00, 2025-02-12T22:30:00+00:00
0.098,2.39, 2025-02-12T22:30:00+00:00, 2025-02-12T23:00:00+00:00
0.071,1.73, 2025-02-12T23:00:00+00:00, 2025-02-12T23:30:00+00:00
0.066,1.61, 2025-02-12T23:30:00+00:00, 2025-02-13T00:00:00+00:00
0.059,1.44, 2025-02-13T00:00:00+00:00, 2025-02-13T00:30:00+00:00
0.073,1.78, 2025-02-13T00:30:00+00:00, 2025-02-13T01:00:00+00:00
0.052,1.27, 2025-02-13T01:00:00+00:00, 2025-02-13T01:30:00+00:00
0.078,1.9, 2025-02-13T01:30:00+00:00, 2025-02-13T02:00:00+00:00
0.053,1.29, 2025-02-13T02:00:00+00:00, 2025-02-13T02:30:00+00:00
0.061,1.49, 2025-02-13T02:30:00+00:00, 2025-02-13T03:00:00+00:00
0.115,2.8, 2025-02-13T03:00:00+00:00, 2025-02-13T03:30:00+00:00
0.088,2.14, 2025-02-13T03:30:00+00:00, 2025-02-13T04:00:00+00:00
0.073,1.78, 2025-02-13T04:00:00+00:00, 2025-02-13T04:30:00+00:00
0.094,2.29, 2025-02-13T04:30:00+00:00, 2025-02-13T05:00:00+00:00
0.115,2.8, 2025-02-13T05:00:00+00:00, 2025-02-13T05:30:00+00:00
0.086,2.09, 2025-02-13T05:30:00+00:00, 2025-02-13T06:00:00+00:00
0.075,1.83, 2025-02-13T06:00:00+00:00, 2025-02-13T06:30:00+00:00
0.146,3.56, 2025-02-13T06:30:00+00:00, 2025-02-13T07:00:00+00:00
0.561,13.66, 2025-02-13T07:00:00+00:00, 2025-02-13T07:30:00+00:00
0.128,3.12, 2025-02-13T07:30:00+00:00, 2025-02-13T08:00:00+00:00
0.168,4.09, 2025-02-13T08:00:00+00:00, 2025-02-13T08:30:00+00:00
0.157,3.82, 2025-02-13T08:30:00+00:00, 2025-02-13T09:00:00+00:00
0.681,16.59, 2025-02-13T09:00:00+00:00, 2025-02-13T09:30:00+00:00
0.131,3.19, 2025-02-13T09:30:00+00:00, 2025-02-13T10:00:00+00:00
0.067,1.63, 2025-02-13T10:00:00+00:00, 2025-02-13T10:30:00+00:00
0.081,1.97, 2025-02-13T10:30:00+00:00, 2025-02-13T11:00:00+00:00
0.08,1.95, 2025-02-13T11:00:00+00:00, 2025-02-13T11:30:00+00:00
0.073,1.78, 2025-02-13T11:30:00+00:00, 2025-02-13T12:00:00+00:00
0.084,2.05, 2025-02-13T12:00:00+00:00, 2025-02-13T12:30:00+00:00
0.07,1.7, 2025-02-13T12:30:00+00:00, 2025-02-13T13:00:00+00:00
0.118,2.87, 2025-02-13T13:00:00+00:00, 2025-02-13T13:30:00+00:00
0.157,3.82, 2025-02-13T13:30:00+00:00, 2025-02-13T14:00:00+00:00
0.13,3.17, 2025-02-13T14:00:00+00:00, 2025-02-13T14:30:00+00:00
0.111,2.7, 2025-02-13T14:30:00+00:00, 2025-02-13T15:00:00+00:00
0.078,1.9, 2025-02-13T15:00:00+00:00, 2025-02-13T15:30:00+00:00
0.083,2.02, 2025-02-13T15:30:00+00:00, 2025-02-13T16:00:00+00:00
0.23,5.6, 2025-02-13T16:00:00+00:00, 2025-02-13T16:30:00+00:00
0.226,5.5, 2025-02-13T16:30:00+00:00, 2025-02-13T17:00:00+00:00
0.462,11.25, 2025-02-13T17:00:00+00:00, 2025-02-13T17:30:00+00:00
1.539,37.49, 2025-02-13T17:30:00+00:00, 2025-02-13T18:00:00+00:00
0.582,14.18, 2025-02-13T18:00:00+00:00, 2025-02-13T18:30:00+00:00
1.446,35.22, 2025-02-13T18:30:00+00:00, 2025-02-13T19:00:00+00:00
0.638,15.54, 2025-02-13T19:00:00+00:00, 2025-02-13T19:30:00+00:00
0.574,13.98, 2025-02-13T19:30:00+00:00, 2025-02-13T20:00:00+00:00
0.28,6.82, 2025-02-13T20:00:00+00:00, 2025-02-13T20:30:00+00:00
0.125,3.04, 2025-02-13T20:30:00+00:00, 2025-02-13T21:00:00+00:00
0.1,2.44, 2025-02-13T21:00:00+00:00, 2025-02-13T21:30:00+00:00
0.155,3.78, 2025-02-13T21:30:00+00:00, 2025-02-13T22:00:00+00:00
0.097,2.36, 2025-02-13T22:00:00+00:00, 2025-02-13T22:30:00+00:00
0.069,1.68, 2025-02-13T22:30:00+00:00, 2025-02-13T23:00:00+00:00
0.077,1.88, 2025-02-13T23:00:00+00:00, 2025-02-13T23:30:00+00:00
0.052,1.27, 2025-02-13T23:30:00+00:00, 2025-02-14T00:00:00+00:00
0.064,1.56, 2025-02-14T00:00:00+00:00, 2025-02-14T00:30:00+00:00
0.065,1.58, 2025-02-14T00:30:00+00:00, 2025-02-14T01:00:00+00:00
0.056,1.36, 2025-02-14T01:00:00+00:00, 2025-02-14T01:30:00+00:00
0.067,1.63, 2025-02-14T01:30:00+00:00, 2025-02-14T02:00:00+00:00
0.055,1.34, 2025-02-14T02:00:00+00:00, 2025-02-14T02:30:00+00:00
0.065,1.58, 2025-02-14T02:30:00+00:00, 2025-02-14T03:00:00+00:00
0.106,2.58, 2025-02-14T03:00:00+00:00, 2025-02-14T03:30:00+00:00
0.102,2.48, 2025-02-14T03:30:00+00:00, 2025-02-14T04:00:00+00:00
0.054,1.32, 2025-02-14T04:00:00+00:00, 2025-02-14T04:30:00+00:00
0.123,3, 2025-02-14T04:30:00+00:00, 2025-02-14T05:00:00+00:00
0.106,2.58, 2025-02-14T05:00:00+00:00, 2025-02-14T05:30:00+00:00
0.097,2.36, 2025-02-14T05:30:00+00:00, 2025-02-14T06:00:00+00:00
0.101,2.46, 2025-02-14T06:00:00+00:00, 2025-02-14T06:30:00+00:00
0.059,1.44, 2025-02-14T06:30:00+00:00, 2025-02-14T07:00:00+00:00
0.121,2.95, 2025-02-14T07:00:00+00:00, 2025-02-14T07:30:00+00:00
0.067,1.63, 2025-02-14T07:30:00+00:00, 2025-02-14T08:00:00+00:00
0.172,4.19, 2025-02-14T08:00:00+00:00, 2025-02-14T08:30:00+00:00
