,Consumption (kwh),Estimated Cost Inc. Tax (p),Start,End,Datetime (UTC),East England,CO2 Emissions
417,0.444,10.81,2025-02-18T16:30,2025-02-18T17:00,2025-02-18T16:30,130,57.72
418,0.11,2.68,2025-02-18T17:00,2025-02-18T17:30,2025-02-18T17:00,135,14.85
419,0.084,2.05,2025-02-18T17:30,2025-02-18T18:00,2025-02-18T17:30,138,11.592
420,0.084,2.05,2025-02-18T18:00,2025-02-18T18:30,2025-02-18T18:00,137,11.508000000000001
421,0.266,6.48,2025-02-18T18:30,2025-02-18T19:00,2025-02-18T18:30,132,35.112
422,0.519,12.64,2025-02-18T19:00,2025-02-18T19:30,2025-02-18T19:00,131,67.989
423,0.283,6.89,2025-02-18T19:30,2025-02-18T20:00,2025-02-18T19:30,119,33.677
424,0.649,15.81,2025-02-18T20:00,2025-02-18T20:30,2025-02-18T20:00,122,79.178
425,0.155,3.78,2025-02-18T20:30,2025-02-18T21:00,2025-02-18T20:30,113,17.515
426,0.187,4.55,2025-02-18T21:00,2025-02-18T21:30,2025-02-18T21:00,104,19.448
427,0.146,3.56,2025-02-18T21:30,2025-02-18T22:00,2025-02-18T21:30,95,13.87
428,0.138,3.36,2025-02-18T22:00,2025-02-18T22:30,2025-02-18T22:00,89,12.282000000000002
429,0.076,1.85,2025-02-18T22:30,2025-02-18T23:00,2025-02-18T22:30,73,5.548
430,0.068,1.66,2025-02-18T23:00,2025-02-18T23:30,2025-02-18T23:00,65,4.42
431,0.063,1.53,2025-02-18T23:30,2025-02-19T00:00,2025-02-18T23:30,67,4.221
432,0.057,1.39,2025-02-19T00:00,2025-02-19T00:30,2025-02-19T00:00,76,4.332
433,0.072,1.75,2025-02-19T00:30,2025-02-19T01:00,2025-02-19T00:30,79,5.688
434,0.052,1.27,2025-02-19T01:00,2025-02-19T01:30,2025-02-19T01:00,68,3.536
435,0.072,1.75,2025-02-19T01:30,2025-02-19T02:00,2025-02-19T01:30,58,4.175999999999999
436,0.056,1.36,2025-02-19T02:00,2025-02-19T02:30,2025-02-19T02:00,65,3.64
437,0.063,1.53,2025-02-19T02:30,2025-02-19T03:00,2025-02-19T02:30,67,4.221
438,0.094,2.29,2025-02-19T03:00,2025-02-19T03:30,2025-02-19T03:00,52,4.888
439,0.103,2.51,2025-02-19T03:30,2025-02-19T04:00,2025-02-19T03:30,47,4.840999999999999
440,0.058,1.41,2025-02-19T04:00,2025-02-19T04:30,2025-02-19T04:00,50,2.9000000000000004
441,0.117,2.85,2025-02-19T04:30,2025-02-19T05:00,2025-02-19T04:30,44,5.148000000000001
442,0.111,2.7,2025-02-19T05:00,2025-02-19T05:30,2025-02-19T05:00,46,5.106
443,0.1,2.44,2025-02-19T05:30,2025-02-19T06:00,2025-02-19T05:30,55,5.5
444,0.075,1.83,2025-02-19T06:00,2025-02-19T06:30,2025-02-19T06:00,72,5.3999999999999995
445,0.088,2.14,2025-02-19T06:30,2025-02-19T07:00,2025-02-19T06:30,92,8.096
446,0.101,2.46,2025-02-19T07:00,2025-02-19T07:30,2025-02-19T07:00,112,11.312000000000001
447,0.084,2.05,2025-02-19T07:30,2025-02-19T08:00,2025-02-19T07:30,113,9.492
448,0.112,2.73,2025-02-19T08:00,2025-02-19T08:30,2025-02-19T08:00,135,15.120000000000001
449,0.119,2.9,2025-02-19T08:30,2025-02-19T09:00,2025-02-19T08:30,138,16.422
450,0.213,5.19,2025-02-19T09:00,2025-02-19T09:30,2025-02-19T09:00,149,31.737
451,0.194,4.73,2025-02-19T09:30,2025-02-19T10:00,2025-02-19T09:30,149,28.906000000000002
452,0.121,2.95,2025-02-19T10:00,2025-02-19T10:30,2025-02-19T10:00,150,18.15
453,0.146,3.56,2025-02-19T10:30,2025-02-19T11:00,2025-02-19T10:30,155,22.63
454,0.126,3.07,2025-02-19T11:00,2025-02-19T11:30,2025-02-19T11:00,160,20.16
455,0.11,2.68,2025-02-19T11:30,2025-02-19T12:00,2025-02-19T11:30,163,17.93
456,0.139,3.39,2025-02-19T12:00,2025-02-19T12:30,2025-02-19T12:00,167,23.213
457,0.197,4.8,2025-02-19T12:30,2025-02-19T13:00,2025-02-19T12:30,164,32.308
458,0.234,5.7,2025-02-19T13:00,2025-02-19T13:30,2025-02-19T13:00,161,37.674
459,0.253,6.16,2025-02-19T13:30,2025-02-19T14:00,2025-02-19T13:30,164,41.492
460,0.161,3.92,2025-02-19T14:00,2025-02-19T14:30,2025-02-19T14:00,166,26.726
461,0.144,3.51,2025-02-19T14:30,2025-02-19T15:00,2025-02-19T14:30,172,24.767999999999997
462,0.156,3.8,2025-02-19T15:00,2025-02-19T15:30,2025-02-19T15:00,180,28.08
463,0.168,4.09,2025-02-19T15:30,2025-02-19T16:00,2025-02-19T15:30,175,29.400000000000002
464,0.141,3.43,2025-02-19T16:00,2025-02-19T16:30,2025-02-19T16:00,143,20.162999999999997
465,0.131,3.19,2025-02-19T16:30,2025-02-19T17:00,2025-02-19T16:30,156,20.436
466,0.225,5.48,2025-02-19T17:00,2025-02-19T17:30,2025-02-19T17:00,167,37.575
467,0.163,3.97,2025-02-19T17:30,2025-02-19T18:00,2025-02-19T17:30,187,30.481
468,0.525,12.79,2025-02-19T18:00,2025-02-19T18:30,2025-02-19T18:00,194,101.85000000000001
469,0.908,22.12,2025-02-19T18:30,2025-02-19T19:00,2025-02-19T18:30,188,170.704
470,1.569,38.22,2025-02-19T19:00,2025-02-19T19:30,2025-02-19T19:00,183,287.127
471,0.321,7.82,2025-02-19T19:30,2025-02-19T20:00,2025-02-19T19:30,164,52.644
472,0.268,6.53,2025-02-19T20:00,2025-02-19T20:30,2025-02-19T20:00,158,42.344
473,0.293,7.14,2025-02-19T20:30,2025-02-19T21:00,2025-02-19T20:30,136,39.848
474,0.866,21.09,2025-02-19T21:00,2025-02-19T21:30,2025-02-19T21:00,113,97.858
475,0.154,3.75,2025-02-19T21:30,2025-02-19T22:00,2025-02-19T21:30,99,15.246
476,0.126,3.07,2025-02-19T22:00,2025-02-19T22:30,2025-02-19T22:00,106,13.356
477,0.134,3.26,2025-02-19T22:30,2025-02-19T23:00,2025-02-19T22:30,96,12.864
478,0.065,1.58,2025-02-19T23:00,2025-02-19T23:30,2025-02-19T23:00,71,4.615
479,0.082,2.0,2025-02-19T23:30,2025-02-20T00:00,2025-02-19T23:30,70,5.74
480,0.068,1.66,2025-02-20T00:00,2025-02-20T00:30,2025-02-20T00:00,75,5.1000000000000005
481,0.064,1.56,2025-02-20T00:30,2025-02-20T01:00,2025-02-20T00:30,74,4.736
482,0.081,1.97,2025-02-20T01:00,2025-02-20T01:30,2025-02-20T01:00,78,6.3180000000000005
483,0.062,1.51,2025-02-20T01:30,2025-02-20T02:00,2025-02-20T01:30,73,4.526
484,0.08,1.95,2025-02-20T02:00,2025-02-20T02:30,2025-02-20T02:00,71,5.68
485,0.063,1.53,2025-02-20T02:30,2025-02-20T03:00,2025-02-20T02:30,66,4.158
486,0.119,2.9,2025-02-20T03:00,2025-02-20T03:30,2025-02-20T03:00,66,7.853999999999999
487,0.104,2.53,2025-02-20T03:30,2025-02-20T04:00,2025-02-20T03:30,66,6.864
488,0.073,1.78,2025-02-20T04:00,2025-02-20T04:30,2025-02-20T04:00,66,4.818
489,0.061,1.49,2025-02-20T04:30,2025-02-20T05:00,2025-02-20T04:30,58,3.538
490,0.107,2.61,2025-02-20T05:00,2025-02-20T05:30,2025-02-20T05:00,50,5.35
491,0.11,2.68,2025-02-20T05:30,2025-02-20T06:00,2025-02-20T05:30,48,5.28
492,0.089,2.17,2025-02-20T06:00,2025-02-20T06:30,2025-02-20T06:00,50,4.45
493,0.078,1.9,2025-02-20T06:30,2025-02-20T07:00,2025-02-20T06:30,56,4.368
494,0.101,2.46,2025-02-20T07:00,2025-02-20T07:30,2025-02-20T07:00,43,4.343
495,0.093,2.27,2025-02-20T07:30,2025-02-20T08:00,2025-02-20T07:30,41,3.813
496,0.086,2.09,2025-02-20T08:00,2025-02-20T08:30,2025-02-20T08:00,51,4.385999999999999
497,0.38,9.26,2025-02-20T08:30,2025-02-20T09:00,2025-02-20T08:30,55,20.9
498,0.279,6.8,2025-02-20T09:00,2025-02-20T09:30,2025-02-20T09:00,71,19.809
499,0.313,7.62,2025-02-20T09:30,2025-02-20T10:00,2025-02-20T09:30,76,23.788
500,0.215,5.24,2025-02-20T10:00,2025-02-20T10:30,2025-02-20T10:00,66,14.19
501,0.272,6.63,2025-02-20T10:30,2025-02-20T11:00,2025-02-20T10:30,62,16.864
502,0.242,5.89,2025-02-20T11:00,2025-02-20T11:30,2025-02-20T11:00,73,17.666
503,0.303,7.38,2025-02-20T11:30,2025-02-20T12:00,2025-02-20T11:30,89,26.967
504,0.175,4.26,2025-02-20T12:00,2025-02-20T12:30,2025-02-20T12:00,80,14.0
505,0.593,14.44,2025-02-20T12:30,2025-02-20T13:00,2025-02-20T12:30,74,43.882
506,0.302,7.36,2025-02-20T13:00,2025-02-20T13:30,2025-02-20T13:00,70,21.14
507,0.62,15.1,2025-02-20T13:30,2025-02-20T14:00,2025-02-20T13:30,70,43.4
508,0.343,8.35,2025-02-20T14:00,2025-02-20T14:30,2025-02-20T14:00,73,25.039
509,0.227,5.53,2025-02-20T14:30,2025-02-20T15:00,2025-02-20T14:30,70,15.89
510,0.813,19.8,2025-02-20T15:00,2025-02-20T15:30,2025-02-20T15:00,41,33.333
511,0.146,3.56,2025-02-20T15:30,2025-02-20T16:00,2025-02-20T15:30,49,7.154
512,0.19,4.63,2025-02-20T16:00,2025-02-20T16:30,2025-02-20T16:00,66,12.540000000000001
513,0.188,4.58,2025-02-20T16:30,2025-02-20T17:00,2025-02-20T16:30,69,12.972
514,0.718,17.49,2025-02-20T17:00,2025-02-20T17:30,2025-02-20T17:00,100,71.8
515,1.759,42.84,2025-02-20T17:30,2025-02-20T18:00,2025-02-20T17:30,105,184.695
516,1.672,40.72,2025-02-20T18:00,2025-02-20T18:30,2025-02-20T18:00,116,193.952
517,1.873,45.62,2025-02-20T18:30,2025-02-20T19:00,2025-02-20T18:30,115,215.395
518,1.517,36.95,2025-02-20T19:00,2025-02-20T19:30,2025-02-20T19:00,114,172.938
519,1.426,34.73,2025-02-20T19:30,2025-02-20T20:00,2025-02-20T19:30,112,159.712
520,1.469,35.78,2025-02-20T20:00,2025-02-20T20:30,2025-02-20T20:00,114,167.466
521,1.324,32.25,2025-02-20T20:30,2025-02-20T21:00,2025-02-20T20:30,109,144.316
522,1.658,40.38,2025-02-20T21:00,2025-02-20T21:30,2025-02-20T21:00,109,180.72199999999998
523,1.333,32.47,2025-02-20T21:30,2025-02-20T22:00,2025-02-20T21:30,106,141.298
524,1.323,32.22,2025-02-20T22:00,2025-02-20T22:30,2025-02-20T22:00,86,113.77799999999999
525,1.279,31.15,2025-02-20T22:30,2025-02-20T23:00,2025-02-20T22:30,83,106.157
526,1.254,30.54,2025-02-20T23:00,2025-02-20T23:30,2025-02-20T23:00,42,52.668
527,0.066,1.61,2025-02-20T23:30,2025-02-21T00:00,2025-02-20T23:30,44,2.904
528,0.069,0.460023,2025-02-21T00:00,2025-02-21T00:30,2025-02-21T00:00,57,3.9330000000000003
529,0.063,0.420021,2025-02-21T00:30,2025-02-21T01:00,2025-02-21T00:30,59,3.717
530,0.069,0.460023,2025-02-21T01:00,2025-02-21T01:30,2025-02-21T01:00,61,4.2090000000000005
531,0.068,0.453356,2025-02-21T01:30,2025-02-21T02:00,2025-02-21T01:30,60,4.08
532,0.062,0.413354,2025-02-21T02:00,2025-02-21T02:30,2025-02-21T02:00,63,3.906
533,0.077,0.513359,2025-02-21T02:30,2025-02-21T03:00,2025-02-21T02:30,61,4.697
534,0.096,0.640032,2025-02-21T03:00,2025-02-21T03:30,2025-02-21T03:00,62,5.952
535,0.121,0.806707,2025-02-21T03:30,2025-02-21T04:00,2025-02-21T03:30,62,7.502
536,0.051,0.340017,2025-02-21T04:00,2025-02-21T04:30,2025-02-21T04:00,66,3.3659999999999997
537,0.075,0.500025,2025-02-21T04:30,2025-02-21T05:00,2025-02-21T04:30,58,4.35
538,0.053,0.353351,2025-02-21T05:00,2025-02-21T05:30,2025-02-21T05:00,53,2.8089999999999997
539,0.077,1.9875163,2025-02-21T05:30,2025-02-21T06:00,2025-02-21T05:30,59,4.543
540,0.117,3.0199923,2025-02-21T06:00,2025-02-21T06:30,2025-02-21T06:00,60,7.0200000000000005
541,0.066,1.7035854,2025-02-21T06:30,2025-02-21T07:00,2025-02-21T06:30,72,4.752000000000001
542,0.064,1.6519616,2025-02-21T07:00,2025-02-21T07:30,2025-02-21T07:00,67,4.288
543,0.069,1.7810211,2025-02-21T07:30,2025-02-21T08:00,2025-02-21T07:30,62,4.2780000000000005
544,0.08,2.064952,2025-02-21T08:00,2025-02-21T08:30,2025-02-21T08:00,58,4.64
545,0.259,6.6852821,2025-02-21T08:30,2025-02-21T09:00,2025-02-21T08:30,59,15.281
546,0.182,4.6977658,2025-02-21T09:00,2025-02-21T09:30,2025-02-21T09:00,78,14.196
547,0.259,6.6852821,2025-02-21T09:30,2025-02-21T10:00,2025-02-21T09:30,78,20.202
548,0.31,8.001689,2025-02-21T10:00,2025-02-21T10:30,2025-02-21T10:00,63,19.53
549,0.179,4.6203301,2025-02-21T10:30,2025-02-21T11:00,2025-02-21T10:30,61,10.918999999999999
550,0.265,6.8401535,2025-02-21T11:00,2025-02-21T11:30,2025-02-21T11:00,89,23.585
551,0.175,4.5170825,2025-02-21T11:30,2025-02-21T12:00,2025-02-21T11:30,89,15.575
552,0.277,7.1498963,2025-02-21T12:00,2025-02-21T12:30,2025-02-21T12:00,96,26.592000000000002
553,0.159,4.1040921,2025-02-21T12:30,2025-02-21T13:00,2025-02-21T12:30,96,15.264
554,0.194,5.0075086,2025-02-21T13:00,2025-02-21T13:30,2025-02-21T13:00,78,15.132
555,0.211,5.4463109,2025-02-21T13:30,2025-02-21T14:00,2025-02-21T13:30,72,15.192
556,0.178,4.5945182,2025-02-21T14:00,2025-02-21T14:30,2025-02-21T14:00,39,6.941999999999999
557,0.143,3.6911017,2025-02-21T14:30,2025-02-21T15:00,2025-02-21T14:30,44,6.292
558,0.148,3.8201612,2025-02-21T15:00,2025-02-21T15:30,2025-02-21T15:00,50,7.3999999999999995
559,0.176,4.5428944,2025-02-21T15:30,2025-02-21T16:00,2025-02-21T15:30,47,8.272
560,0.185,4.7752015,2025-02-21T16:00,2025-02-21T16:30,2025-02-21T16:00,39,7.215
561,0.173,4.4654587,2025-02-21T16:30,2025-02-21T17:00,2025-02-21T16:30,34,5.882
562,0.176,4.5428944,2025-02-21T17:00,2025-02-21T17:30,2025-02-21T17:00,59,10.383999999999999
563,0.176,4.5428944,2025-02-21T17:30,2025-02-21T18:00,2025-02-21T17:30,65,11.44
564,0.361,9.3180959,2025-02-21T18:00,2025-02-21T18:30,2025-02-21T18:00,80,28.88
565,0.694,17.9134586,2025-02-21T18:30,2025-02-21T19:00,2025-02-21T18:30,102,70.788
566,0.316,8.1565604,2025-02-21T19:00,2025-02-21T19:30,2025-02-21T19:00,89,28.124
567,0.148,3.8201612,2025-02-21T19:30,2025-02-21T20:00,2025-02-21T19:30,85,12.58
568,0.186,4.8010134,2025-02-21T20:00,2025-02-21T20:30,2025-02-21T20:00,70,13.02
569,0.104,2.6844376,2025-02-21T20:30,2025-02-21T21:00,2025-02-21T20:30,67,6.968
570,0.099,2.5553781,2025-02-21T21:00,2025-02-21T21:30,2025-02-21T21:00,44,4.356
571,0.138,3.5620422,2025-02-21T21:30,2025-02-21T22:00,2025-02-21T21:30,43,5.934
572,0.092,2.3746948,2025-02-21T22:00,2025-02-21T22:30,2025-02-21T22:00,36,3.312
573,0.126,3.2522994,2025-02-21T22:30,2025-02-21T23:00,2025-02-21T22:30,36,4.536
574,0.078,2.0133282,2025-02-21T23:00,2025-02-21T23:30,2025-02-21T23:00,43,3.354
575,0.105,0.700035,2025-02-21T23:30,2025-02-22T00:00,2025-02-21T23:30,43,4.515
576,0.072,0.480024,2025-02-22T00:00,2025-02-22T00:30,2025-02-22T00:00,16,1.152
577,0.097,0.646699,2025-02-22T00:30,2025-02-22T01:00,2025-02-22T00:30,20,1.94
578,0.077,0.513359,2025-02-22T01:00,2025-02-22T01:30,2025-02-22T01:00,32,2.464
579,0.083,0.553361,2025-02-22T01:30,2025-02-22T02:00,2025-02-22T01:30,32,2.656
580,0.091,0.606697,2025-02-22T02:00,2025-02-22T02:30,2025-02-22T02:00,45,4.095
581,0.074,0.493358,2025-02-22T02:30,2025-02-22T03:00,2025-02-22T02:30,40,2.96
582,0.139,0.926713,2025-02-22T03:00,2025-02-22T03:30,2025-02-22T03:00,42,5.838000000000001
583,0.104,0.693368,2025-02-22T03:30,2025-02-22T04:00,2025-02-22T03:30,46,4.784
584,0.093,0.620031,2025-02-22T04:00,2025-02-22T04:30,2025-02-22T04:00,46,4.278
585,0.076,0.506692,2025-02-22T04:30,2025-02-22T05:00,2025-02-22T04:30,47,3.572
586,0.083,0.553361,2025-02-22T05:00,2025-02-22T05:30,2025-02-22T05:00,51,4.2330000000000005
587,0.077,1.9875163,2025-02-22T05:30,2025-02-22T06:00,2025-02-22T05:30,49,3.773
588,0.082,2.1165758,2025-02-22T06:00,2025-02-22T06:30,2025-02-22T06:00,73,5.986000000000001
589,0.075,1.9358925,2025-02-22T06:30,2025-02-22T07:00,2025-02-22T06:30,83,6.225
590,0.148,3.8201612,2025-02-22T07:00,2025-02-22T07:30,2025-02-22T07:00,155,22.939999999999998
591,0.088,2.2714472,2025-02-22T07:30,2025-02-22T08:00,2025-02-22T07:30,167,14.696
592,0.161,4.1557159,2025-02-22T08:00,2025-02-22T08:30,2025-02-22T08:00,181,29.141000000000002
593,0.099,2.5553781,2025-02-22T08:30,2025-02-22T09:00,2025-02-22T08:30,176,17.424
594,0.093,2.4005067,2025-02-22T09:00,2025-02-22T09:30,2025-02-22T09:00,152,14.136
595,0.117,3.0199923,2025-02-22T09:30,2025-02-22T10:00,2025-02-22T09:30,152,17.784000000000002
596,0.126,3.2522994,2025-02-22T10:00,2025-02-22T10:30,2025-02-22T10:00,125,15.75
597,0.247,6.3755393,2025-02-22T10:30,2025-02-22T11:00,2025-02-22T10:30,116,28.652
598,0.232,5.9883608,2025-02-22T11:00,2025-02-22T11:30,2025-02-22T11:00,77,17.864
599,0.194,5.0075086,2025-02-22T11:30,2025-02-22T12:00,2025-02-22T11:30,78,15.132
600,0.704,18.1715776,2025-02-22T12:00,2025-02-22T12:30,2025-02-22T12:00,96,67.584
601,0.184,4.7493896,2025-02-22T12:30,2025-02-22T13:00,2025-02-22T12:30,93,17.112
602,0.152,3.9234088,2025-02-22T13:00,2025-02-22T13:30,2025-02-22T13:00,111,16.872
603,0.177,4.5687063,2025-02-22T13:30,2025-02-22T14:00,2025-02-22T13:30,98,17.346
604,0.161,4.1557159,2025-02-22T14:00,2025-02-22T14:30,2025-02-22T14:00,42,6.7620000000000005
605,0.181,4.6719539,2025-02-22T14:30,2025-02-22T15:00,2025-02-22T14:30,45,8.145
606,0.143,3.6911017,2025-02-22T15:00,2025-02-22T15:30,2025-02-22T15:00,41,5.8629999999999995
607,0.119,3.0716161,2025-02-22T15:30,2025-02-22T16:00,2025-02-22T15:30,51,6.069
608,0.111,2.8651209,2025-02-22T16:00,2025-02-22T16:30,2025-02-22T16:00,66,7.3260000000000005
609,0.092,2.3746948,2025-02-22T16:30,2025-02-22T17:00,2025-02-22T16:30,76,6.992
610,0.553,14.2739807,2025-02-22T17:00,2025-02-22T17:30,2025-02-22T17:00,116,64.14800000000001
611,1.115,7.433705,2025-02-22T17:30,2025-02-22T18:00,2025-02-22T17:30,120,133.8
612,1.088,28.0833472,2025-02-22T18:00,2025-02-22T18:30,2025-02-22T18:00,122,132.73600000000002
613,0.248,6.4013512,2025-02-22T18:30,2025-02-22T19:00,2025-02-22T18:30,110,27.28
614,0.151,3.8975969,2025-02-22T19:00,2025-02-22T19:30,2025-02-22T19:00,102,15.402
615,0.21,5.420499,2025-02-22T19:30,2025-02-22T20:00,2025-02-22T19:30,101,21.21
616,0.173,4.4654587,2025-02-22T20:00,2025-02-22T20:30,2025-02-22T20:00,115,19.895
617,0.196,5.0591324,2025-02-22T20:30,2025-02-22T21:00,2025-02-22T20:30,110,21.560000000000002
618,0.15,3.871785,2025-02-22T21:00,2025-02-22T21:30,2025-02-22T21:00,103,15.45
619,0.16,4.129904,2025-02-22T21:30,2025-02-22T22:00,2025-02-22T21:30,100,16.0
620,0.144,3.7169136,2025-02-22T22:00,2025-02-22T22:30,2025-02-22T22:00,81,11.664
621,0.141,3.6394779,2025-02-22T22:30,2025-02-22T23:00,2025-02-22T22:30,69,9.729
622,0.071,1.8326449,2025-02-22T23:00,2025-02-22T23:30,2025-02-22T23:00,37,2.627
623,0.078,0.520026,2025-02-22T23:30,2025-02-23T00:00,2025-02-22T23:30,32,2.496
